V_ERAMS_MATRIX_SAMPLE_ANALYSIS.MAT_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.SAMP_ID,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_SIZE,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_UNIT,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.ANA_PROC_NUM,V_ERAMS_MATRIX_SAMPLE_ANALYSIS.DURATION,V_ERAMS_LOCATION.LOC_NUM,V_ERAMS_LOCATION.CITY_NAME,V_ERAMS_LOCATION.STATE_ABBR,V_ERAMS_RESULTS_ANALYTE.ANALYTE_ID,V_ERAMS_RESULTS_ANALYTE.RESULT_AMOUNT,V_ERAMS_RESULTS_ANALYTE.CSU,V_ERAMS_RESULTS_ANALYTE.MDC,V_ERAMS_RESULTS_ANALYTE.RESULT_UNIT,V_ERAMS_RESULTS_ANALYTE.RESULT_DATE,V_ERAMS_RESULTS_ANALYTE.ANA_TYPE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE,V_ERAMS_RESULTS_ANALYTE.HALF_LIFE_TIME_UNIT,V_ERAMS_RESULTS_ANALYTE.ANALYTE_NAME
DRINKING WATER,A100516,.01,L,10,100,116,SYRACUSE,NY,H3,28,39,130,PCI/L,2001-01-25,R,12.312,Y,Tritium
DRINKING WATER,A007256,1,L,9,500,116,SYRACUSE,NY,K40,,,52,PCI/L,2000-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007257,1,L,9,500,56,NIAGARA FALLS,NY,RA226,,,100,PCI/L,2000-07-01,R,1600,Y,Radium-226
DRINKING WATER,A007258,200,ML,9,1000,23,WASHINGTON,DC,K40,,,180,PCI/L,2000-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007259,1,L,9,500,516,DOVER,DE,CO60,,,6,PCI/L,2000-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,A007262,1,L,9,500,29,COLUMBIA,PA,RA228,,,18,PCI/L,2000-07-01,R,5.75,Y,Radium-228
DRINKING WATER,A007264,1,L,9,500,3980,PHILADELPHIA,PA,K40,,,47,PCI/L,2000-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007265,300,ML,2,100,3978,PHILADELPHIA,PA,ALPHA,.03,.51,.91,PCI/L,2001-08-30,R,,,Gross Alpha
DRINKING WATER,A007266,400,ML,2,100,49,PITTSBURGH,PA,BETA,2.21,.43,1.1,PCI/L,2001-08-30,R,,,Gross Beta
DRINKING WATER,A007266,1,L,9,500,49,PITTSBURGH,PA,CS137,,,5.5,PCI/L,2000-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,A007268,400,ML,2,100,3938,ASHLAND,VA,BETA,2.33,.42,1,PCI/L,2001-09-04,R,,,Gross Beta
DRINKING WATER,A007269,500,ML,2,100,1,MONTGOMERY,AL,BETA,2.33,.36,.84,PCI/L,2001-09-04,R,,,Gross Beta
DRINKING WATER,A007269,1,L,9,500,1,MONTGOMERY,AL,CO60,,,6.3,PCI/L,2000-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,A007269,1,L,9,500,1,MONTGOMERY,AL,RA226,,,100,PCI/L,2000-07-01,R,1600,Y,Radium-226
DRINKING WATER,A007271,400,ML,2,100,182,MUSCLE SHOALS,AL,BETA,1.99,.42,1.1,PCI/L,2001-09-04,R,,,Gross Beta
DRINKING WATER,A007272,1,L,9,1000,213,SCOTTSBORO,AL,CS137,,,5.5,PCI/L,2000-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,A007272,1,L,9,1000,213,SCOTTSBORO,AL,K40,,,52,PCI/L,2000-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007272,1,L,9,1000,213,SCOTTSBORO,AL,RA228,,,18,PCI/L,2000-07-01,R,5.75,Y,Radium-228
DRINKING WATER,A103373,2,L,11,1000,99,SENECA,SC,I131,.041,.077,.26,PCI/L,2001-07-25,R,8.0233,D,Iodine-131
DRINKING WATER,A002627,.01,L,10,100,116,SYRACUSE,NY,H3,11,39,130,PCI/L,2000-05-05,R,12.312,Y,Tritium
DRINKING WATER,A007248,1,L,9,500,24,HARTFORD,CT,CO60,,,5.5,PCI/L,2000-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,A202118,2,L,124,1000,29,COLUMBIA,PA,I131,.1,.11,.38,PCI/L,2002-05-10,R,8.0233,D,Iodine-131
DRINKING WATER,A101511,.01,L,10,100,196,TOLEDO,OH,H3,117,41,130,PCI/L,2001-04-05,R,12.312,Y,Tritium
DRINKING WATER,A101517,2,L,11,1000,47,JEFFERSON CITY,MO,I131,.17,.12,.4,PCI/L,2001-04-06,R,8.0233,D,Iodine-131
DRINKING WATER,A104440,.01,L,10,100,40,PROVIDENCE,RI,H3,18,37,130,PCI/L,2001-10-01,R,12.312,Y,Tritium
DRINKING WATER,A105894,3,L,118,1000,149,SANTA FE,NM,CS137,,,1.9,PCI/L,2001-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,A105895,1,L,118,500,96,OKLAHOMA CITY,OK,CS137,,,4.7,PCI/L,2001-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,A105898,250,ML,2,100,187,TOPEKA,KS,BETA,7.6,1,2.7,PCI/L,2002-06-25,R,,,Gross Beta
DRINKING WATER,A101713,.01,L,10,100,261,PORT GIBSON,MS,H3,-42.587,40,140,PCI/L,2001-04-11,R,12.312,Y,Tritium
DRINKING WATER,A101728,.01,L,10,100,516,DOVER,DE,H3,-44.652,40,140,PCI/L,2001-04-10,R,12.312,Y,Tritium
DRINKING WATER,A105900,1,L,118,500,192,LINCOLN,NE,RA228,,,17,PCI/L,2001-07-01,R,5.75,Y,Radium-228
DRINKING WATER,A105900,.5,L,125,1000,192,LINCOLN,NE,PU239,-.0042903,.0055,.028,PCI/L,2003-06-23,R,24131,Y,Plutonium-239
DRINKING WATER,A105900,1,L,127,1000,192,LINCOLN,NE,RA226,.181,.014,.013,PCI/L,2003-06-03,R,1600,Y,Radium-226
DRINKING WATER,A105901,500,ML,2,100,80,DENVER,CO,BETA,2.69,.38,.88,PCI/L,2002-06-24,R,,,Gross Beta
DRINKING WATER,A105902,1,L,118,1000,87,PLATTEVILLE,CO,RA226,,,81,PCI/L,2001-07-01,R,1600,Y,Radium-226
DRINKING WATER,A105905,500,ML,2,100,139,BERKELEY,CA,ALPHA,.12,.37,.54,PCI/L,2002-06-24,R,,,Gross Alpha
DRINKING WATER,A105906,100,ML,2,100,48,LOS ANGELES,CA,BETA,5.2,1.5,3.9,PCI/L,2002-06-24,R,,,Gross Beta
DRINKING WATER,A105908,1,L,118,1000,43,LAS VEGAS,NV,K40,56,32,,PCI/L,2001-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007250,1,L,9,500,188,LAWRENCE,MA,CO60,,,6,PCI/L,2000-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,A007250,1,L,9,500,188,LAWRENCE,MA,K40,,,48,PCI/L,2000-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007252,1,L,9,500,40,PROVIDENCE,RI,CS137,,,5.2,PCI/L,2000-07-01,R,30.17,Y,Cesium-137
DRINKING WATER,A007252,1,L,9,500,40,PROVIDENCE,RI,K40,,,54,PCI/L,2000-07-01,R,1277000000,Y,Potassium-40
DRINKING WATER,A007253,500,ML,2,100,55,TRENTON,NJ,BETA,2.54,.37,.87,PCI/L,2001-08-30,R,,,Gross Beta
DRINKING WATER,A007287,1,L,9,1000,41,DETROIT,MI,CO60,,,7.8,PCI/L,2000-07-01,R,5.271,Y,Cobalt-60
DRINKING WATER,A007289,1,L,9,1000,334,MINNEAPOLIS,MN,PB212,3.4,2.6,,PCI/L,2000-07-01,R,10.643,H,Lead-212
